0.375 0.13166 -0.0395049 -2.36299 0.264071 0.728311 0.593909
0.38 0.130952 -0.0395798 -2.36251 0.262084 0.728548 0.593126
0.385 0.130627 -0.0392915 -2.36195 0.261839 0.727679 0.593118
0.39 0.130298 -0.039001 -2.36139 0.261591 0.726801 0.59311
0.395 0.12957 -0.039086 -2.36089 0.259546 0.727073 0.592307
0.4 0.129236 -0.0387908 -2.36032 0.259295 0.726175 0.592301
0.405 0.128898 -0.0384936 -2.35974 0.259042 0.725268 0.592295
0.41 0.128151 -0.0385895 -2.35922 0.256941 0.725578 0.591472
0.415 0.127807 -0.0382878 -2.35863 0.256686 0.724651 0.591469
0.42 0.12746 -0.0379842 -2.35802 0.256428 0.723715 0.591465
0.425 0.126696 -0.0380917 -2.35749 0.254274 0.724065 0.590624
0.43 0.126343 -0.037784 -2.35687 0.254014 0.723111 0.590623
0.435 0.125987 -0.0374746 -2.35625 0.253753 0.722147 0.590622
0.44 0.125206 -0.0375942 -2.3557 0.251548 0.72254 0.589763
0.445 0.124845 -0.037281 -2.35506 0.251285 0.721558 0.589765
0.45 0.124481 -0.0369662 -2.35441 0.25102 0.720566 0.589767
0.455 0.123684 -0.0370988 -2.35385 0.248767 0.721006 0.588892
0.46 0.123314 -0.0367804 -2.35319 0.2485 0.719996 0.588897
0.465 0.122637 -0.0367855 -2.35258 0.246817 0.720028 0.588276
0.47 0.122262 -0.036464 -2.35191 0.246548 0.719001 0.588283
0.475 0.12159 -0.036461 -2.35129 0.244905 0.719007 0.587683
0.48 0.12121 -0.0361366 -2.3506 0.244634 0.717962 0.587692
0.485 0.120531 -0.0361377 -2.34997 0.242978 0.717982 0.58709
0.49 0.120147 -0.0358105 -2.34927 0.242705 0.71692 0.587101
0.495 0.119461 -0.0358172 -2.34863 0.241032 0.716958 0.586494
0.5 0.119072 -0.0354875 -2.34791 0.240758 0.715879 0.586508
0.505 0.118379 -0.0355002 -2.34726 0.239068 0.715936 0.585897
0.51 0.117986 -0.0351682 -2.34653 0.238793 0.71484 0.585912
0.515 0.117287 -0.035187 -2.34587 0.237087 0.714917 0.585297
0.52 0.116889 -0.0348529 -2.34512 0.236811 0.713805 0.585315
0.525 0.116183 -0.0348782 -2.34445 0.235091 0.713903 0.584696
0.53 0.115781 -0.0345422 -2.34369 0.234813 0.712775 0.584717
0.535 0.11507 -0.0345742 -2.34301 0.233079 0.712895 0.584095
0.54 0.114664 -0.0342365 -2.34223 0.232801 0.711751 0.584118
0.545 0.113948 -0.0342754 -2.34154 0.231055 0.711894 0.583493
0.55 0.113538 -0.0339362 -2.34075 0.230776 0.710734 0.583518
0.555 0.112817 -0.0339823 -2.34004 0.229018 0.710901 0.582891
0.56 0.112404 -0.0336418 -2.33925 0.228739 0.709726 0.582919
0.565 0.111678 -0.0336953 -2.33853 0.226971 0.709918 0.58229
0.57 0.111261 -0.0333537 -2.33771 0.226691 0.708728 0.58232
0.575 0.110532 -0.0334149 -2.33699 0.224913 0.708945 0.58169
0.58 0.110112 -0.0330723 -2.33616 0.224633 0.70774 0.581723
0.585 0.109379 -0.0331413 -2.33542 0.222848 0.707983 0.581091
0.59 0.108955 -0.032798 -2.33458 0.222568 0.706763 0.581126
0.595 0.108219 -0.0328751 -2.33383 0.220775 0.707034 0.580494
0.6 0.107793 -0.0325313 -2.33298 0.220496 0.7058 0.580532
0.605 0.107054 -0.0326166 -2.33222 0.218697 0.706098 0.579899
0.61 0.106625 -0.0322724 -2.33135 0.218418 0.704851 0.579939
0.615 0.105884 -0.0323663 -2.33059 0.216615 0.705178 0.579306
0.62 0.105452 -0.0320219 -2.3297 0.216336 0.703917 0.579349
0.625 0.104709 -0.0321244 -2.32893 0.214529 0.704273 0.578717
0.63 0.104275 -0.0317801 -2.32803 0.214251 0.702999 0.578763
0.635 0.10353 -0.0318914 -2.32725 0.212442 0.703385 0.578131
0.64 0.103094 -0.0315473 -2.32634 0.212164 0.702098 0.578179
0.645 0.102348 -0.0316677 -2.32554 0.210354 0.702516 0.577549
0.65 0.10191 -0.0313239 -2.32462 0.210077 0.701215 0.5776
0.655 0.101164 -0.0314534 -2.32382 0.208267 0.701665 0.576971
0.66 0.100724 -0.0311102 -2.32288 0.207991 0.700351 0.577024
0.665 0.0999772 -0.031249 -2.32207 0.206183 0.700833 0.576397
0.67 0.0995355 -0.0309066 -2.32112 0.205908 0.699508 0.576453
0.675 0.0987893 -0.0310549 -2.3203 0.204102 0.700023 0.575828
0.68 0.098346 -0.0307133 -2.31934 0.203828 0.698686 0.575887
0.685 0.0976006 -0.0308712 -2.31851 0.202027 0.699234 0.575265
0.69 0.097156 -0.0305306 -2.31754 0.201754 0.697886 0.575326
0.695 0.0964117 -0.0306982 -2.3167 0.199957 0.698468 0.574707
0.7 0.095966 -0.0303589 -2.31571 0.199686 0.697108 0.574771
0.705 0.0952232 -0.0305363 -2.31486 0.197896 0.697726 0.574155
0.71 0.0947766 -0.0301984 -2.31386 0.197626 0.696355 0.574222
0.715 0.0940358 -0.0303858 -2.31301 0.195844 0.697007 0.57361
0.72 0.0935884 -0.0300493 -2.312 0.195576 0.695625 0.573678
